# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
guo lai 	過來	c=2 d=3.54791e-16 t=35298
guo le 	過了	c=2 d=3.91706e-33 t=35298
guo lv 	過濾	c=2 d=3.61959e-16 t=35298
guo min 	過敏	c=1 d=0.000804734 t=35298
guo nei 	國內	c=3 d=1.47392e-05 t=35298
guo nian 	過年	c=1 d=2.17762e-38 t=35298
guo qi 	過期	c=15 d=0.000394862 t=35298
guo qing 	國慶	c=3 d=4.3605e-05 t=35298
guo qu 	過去	c=7 d=0.00779823 t=35298
guo shi 	過失	c=1 d=0.000409735 t=35298
guo wai 	國外	c=4 d=0.00134683 t=35298
guo wan 	過完	c=1 d=1.16243e-06 t=35298
guo wan 	過萬	c=4 d=0.000281606 t=35298
h j 	[奸笑]	c=77 d=2.10316e-22 t=35298
ha ha 	哈哈	c=4 d=7.73705e-12 t=35298
ha lou 	哈嘍	c=1 d=6.49381e-10 t=35298
hai 	嗨	c=3 d=9.71906e-15 t=35298
hai 	海	c=6 d=7.12011e-05 t=35298
hai 	還	c=160 d=2.55178 t=35298
hai de 	害得	c=0 d=0.00020601 t=35298
hai de wo 	害得我	c=1 d=0.00207043 t=35298
hai hao 	還好	c=15 d=0.131878 t=35298
hai hui 	還會	c=1 d=1.67012e-34 t=35298
hai jing 	海景	c=1 d=3.77512e-11 t=35298
hai mei 	還沒	c=2 d=3.78361e-08 t=35298
hai mian 	海綿	c=1 d=1 t=32916
hai mian bao bao 	海綿寶寶	c=3 d=2.09678 t=32919
hai neng 	還能	c=6 d=0.233417 t=35298
hai pa 	害怕	c=1 d=3.07164e-26 t=35298
hai shen 	海蔘	c=1 d=1.36199e-17 t=35298
hai shi 	還是	c=102 d=1.28021 t=35298
hai wai 	海外	c=2 d=2.59744e-33 t=35298
hai wang 	海王	c=1 d=0.0366992 t=35298
hai wo 	害我	c=4 d=0.535261 t=35298
hai xian 	海鮮	c=2 d=2.7375e-24 t=35298
hai xiang 	還想	c=1 d=0.000636198 t=35298
hai xing 	海星	c=1 d=1 t=35267
hai xing 	還行	c=9 d=0.0396501 t=35298
hai yao 	還要	c=12 d=0.0265162 t=35298
hai you 	還有	c=20 d=0.0315889 t=35298
hai zai 	還在	c=7 d=0.427654 t=35298
hai zei 	海賊	c=3 d=7.36292e-05 t=35298
hai zei wang 	海賊王	c=1 d=3.5898e-07 t=35298
hai zi 	孩子	c=6 d=0.00278085 t=35298
han 	喊	c=1 d=5.71597e-09 t=35298
han 	寒	c=2 d=0.000225579 t=35298
han guo 	韓國	c=1 d=0.29671 t=35298
han jian 	罕見	c=1 d=6.13771e-23 t=35298
han pi 	憨皮	c=1 d=1.12359e-18 t=35298
han shu 	函數	c=6 d=0.843665 t=35298
han zi 	漢子	c=1 d=4.62132e-08 t=35298
hang 	行	c=9 d=1.20072e-05 t=35298
hang ban 	航班	c=1 d=3.4059e-06 t=35298
hang hao 	行號	c=1 d=3.1116e-31 t=35298
hang qing 	行情	c=1 d=4.0258e-32 t=35298
hang shu 	行數	c=2 d=1.13666e-07 t=35298
hang ye 	行業	c=5 d=4.50741e-29 t=35298
hao 	好	c=75 d=0.337225 t=35298
hao 	薅	c=3 d=0.111917 t=35298
hao 	號	c=37 d=0.650935 t=35298
hao 	豪	c=3 d=0.00392653 t=35298
hao ba 	好吧	c=2 d=1.00344e-11 t=35298
hao chi 	好吃	c=3 d=0.00269222 t=35298
hao chou 	好醜	c=1 d=8.95196e-22 t=35298
hao chu 	好處	c=2 d=7.26397e-05 t=35298
hao da 	好大	c=1 d=0.307279 t=35298
hao de 	好的	c=7 d=0.0497871 t=35298
hao dian 	好點	c=2 d=0.0149956 t=35298
hao duo 	好多	c=3 d=7.81909e-14 t=35298
hao hao 	好好	c=2 d=6.57494e-09 t=35298
hao ji ge 	好幾個	c=1 d=1.97522e-08 t=35298
hao ji kuai 	好幾塊	c=1 d=1.15801e-20 t=35298
hao ji tian 	好幾天	c=1 d=5.23576e-06 t=35298
hao jiu 	好久	c=4 d=0.36816 t=35298
hao ju hao san 	好聚好散	c=1 d=3.23638e-23 t=35298
hao kan 	好看	c=3 d=1.48072 t=35298
hao kuai 	好快	c=1 d=0.0898153 t=35298
hao le 	好了	c=5 d=0.000281606 t=35298
hao ma 	好嗎	c=1 d=3.22803e-22 t=35298
hao ma 	號碼	c=8 d=0.07817 t=35298
hao man 	好慢	c=1 d=5.71189e-30 t=35298
hao miao 	毫秒	c=1 d=1.10992e-21 t=35298
hao shi 	好事	c=6 d=2.00542e-08 t=35298
hao ting 	好聽	c=1 d=1.67449e-06 t=35298
hao wan 	好玩	c=1 d=0.000754089 t=35298
hao xiang 	好像	c=18 d=1.72601 t=35298
hao xiang 	好想	c=1 d=7.33799e-36 t=35298
hao xie 	好些	c=1 d=8.1787e-18 t=35298
hao yang mao 	薅羊毛	c=2 d=2.94921e-18 t=35298
hao yong 	好用	c=2 d=0.000572785 t=35298
he 	何	c=2 d=0.67368 t=35298
he 	和	c=128 d=2.19304 t=35298
he 	喝	c=2 d=2.78383e-05 t=35298
he 	盒	c=8 d=0.0593087 t=35298
he 	赫	c=1 d=3.46809e-13 t=35298
he bing 	合併	c=11 d=0.00623476 t=35298
he cuo 	何厝	c=9 d=0.0219278 t=35298
he dian zhan 	核電站	c=1 d=7.73311e-06 t=35298
he fan 	盒飯	c=1 d=0.0639279 t=35298
he guo 	喝過	c=1 d=1.3138e-05 t=35298
he ji 	合計	c=1 d=2.20183e-21 t=35298
he ji 	合集	c=1 d=7.52119e-32 t=35298
he kuang 	何況	c=1 d=2.97469e-31 t=35298
he ni 	和你	c=2 d=0.142987 t=35298
he ping 	和平	c=1 d=6.78557e-27 t=35298
he ren 	和人	c=1 d=6.54884e-21 t=35298
he shi 	何時	c=1 d=9.33347e-13 t=35298
he shi 	合適	c=1 d=8.50207e-33 t=35298
he shi 	覈實	c=1 d=0.932394 t=35298
he tong 	合同	c=4 d=9.04731e-12 t=35298
he wo 	和我	c=3 d=8.82948e-07 t=35298
he yi 	合一	c=1 d=1.06785e-37 t=35298
he yi wei jia 	何以为家	c=1 d=1.18914e-38 t=35298
he yue 	合約	c=0 d=0.0494109 t=35298
he yue ji 	合約機	c=1 d=0.496585 t=35298
he zhe 	合着	c=1 d=2.62515e-31 t=35298
he zhong 	何種	c=1 d=1 t=31948
he zu 	合租	c=4 d=0.158817 t=35298
he zuo 	合作	c=4 d=1.86961e-08 t=35298
hei 	黑	c=8 d=0.0070499 t=35298
hei mao 	黑貓	c=1 d=8.48615e-11 t=35298
hei ren 	黑人	c=2 d=1.92645e-08 t=35298
hen 	很	c=14 d=0.000547315 t=35298
hen da 	很大	c=1 d=3.37375e-12 t=35298
hen duo 	很多	c=5 d=0.331211 t=35298
hen hao 	很好	c=1 d=2.98705e-21 t=35298
hen kuai 	很快	c=1 d=1.81266e-27 t=35298
hen shao 	很少	c=1 d=5.20964e-06 t=35298
heng 	橫	c=1 d=1 t=32134
hong 	弘	c=1 d=3.63021e-21 t=35298
hong 	紅	c=4 d=0.00138093 t=35298
hong bao 	紅包	c=2 d=0.453845 t=35298
hong jiu 	紅酒	c=1 d=2.20033e-13 t=35298
hong jiu 	🍷	c=1 d=2.22244e-13 t=35298
hong tong tong 	紅彤彤	c=0 d=1.07693e-20 t=35298
hong tong tong ping shi 	紅彤彤平時	c=1 d=1.08233e-19 t=35298
hong zhou 	紅軸	c=2 d=1.10863e-29 t=35298
hou 	後	c=35 d=0.532608 t=35298
hou bu 	候補	c=3 d=0.000193545 t=35298
hou chen 	後塵	c=1 d=3.02077e-06 t=35298
hou dao 	厚道	c=1 d=2.00262e-23 t=35298
hou duan 	後端	c=28 d=0.937067 t=35298
hou hui 	後悔	c=1 d=3.43593e-21 t=35298
hou lai 	後來	c=1 d=1.05159e-33 t=35298
hou mian 	後面	c=13 d=1.01531e-05 t=35298
hou pu 	後埔	c=19 d=0.186201 t=35298
hou qi 	後期	c=1 d=4.13627e-27 t=35298
hou qin 	後勤	c=1 d=0.341298 t=35298
hou tai 	後臺	c=63 d=2.53254 t=35298
hou xu 	後續	c=4 d=0.918512 t=35298
hou zhui 	後綴	c=1 d=8.33965e-12 t=35298
hou zi 	猴子	c=3 d=2.22397e-38 t=35298
hu 	乎	c=4 d=8.23536e-11 t=35298
hu 	唬	c=2 d=9.55798e-20 t=35298
hu 	壺	c=2 d=3.90151e-16 t=35298
hu 	戶	c=7 d=0.982679 t=35298
hu 	湖	c=1 d=3.99605e-33 t=35298
hu 	胡	c=2 d=1.24932 t=35298
hu 	虎	c=0 d=1.12788e-05 t=35298
hu bei 	湖北	c=1 d=4.7817e-27 t=35298
hu bian 	湖邊	c=1 d=1.76214e-18 t=35298
hu dong 	互動	c=1 d=2.92441e-07 t=35298
hu huan 	互換	c=1 d=1.45445e-25 t=35298
hu jia 	護甲	c=1 d=0.0182243 t=35298
hu li qu 	湖裏區	c=2 d=7.27418e-13 t=35298
hu lian wang 	互聯網	c=2 d=6.72743e-14 t=35298
hu lve 	忽略	c=2 d=3.45914e-12 t=35298
hu nong 	糊弄	c=1 d=4.23955e-23 t=35298
hu ren 	湖人	c=1 d=0.00535353 t=35298
hu xi 	呼吸	c=1 d=2.18333e-10 t=35298
hu xiang 	互相	c=8 d=0.000964603 t=35298
hu ya 	虎牙	c=5 d=0.000322309 t=35298
hua 	化	c=10 d=0.00267256 t=35298
hua 	畫	c=4 d=1.36458e-10 t=35298
hua 	花	c=12 d=0.00318663 t=35298
hua 	話	c=17 d=1.09063 t=35298
hua bei 	花唄	c=3 d=3.61837e-38 t=35298
hua fei 	話費	c=13 d=0.00382958 t=35298
hua fei quan 	話費券	c=1 d=1.43626e-24 t=35298
hua ji 	滑稽	c=1 d=0.00990219 t=35298
hua jia 	花嫁	c=1 d=5.02517e-23 t=35298
hua kuo hao 	花括號	c=1 d=0.00195963 t=35298
hua le 	花了	c=2 d=2.71403e-11 t=35298
hua li hu shao 	花裏胡哨	c=1 d=5.70512e-16 t=35298
hua mian 	畫面	c=1 d=1.74669e-32 t=35298
hua nong 	華農	c=3 d=2.48411e-06 t=35298
hua nong xiong di 	华农兄弟	c=1 d=1.23259e-19 t=35298
hua pen 	花盆	c=1 d=0.000432902 t=35298
hua qian 	花錢	c=2 d=6.60565e-05 t=35298
hua sa 	花灑	c=1 d=6.47595e-07 t=35298
hua shui 	划水	c=8 d=1.72221e-13 t=35298
hua shuo 	華碩	c=1 d=1 t=33937
hua shuo 	話說	c=3 d=2.60045e-08 t=35298
hua ti 	話題	c=2 d=3.59346e-19 t=35298
hua wei 	華爲	c=5 d=0.940973 t=35298
hua xiang 	畫像	c=4 d=1.2908 t=35298
hua yang 	花樣	c=1 d=1 t=33634
hua zhi 	畫質	c=1 d=0.00119453 t=35298
hua zhuang 	化妝	c=1 d=6.47484e-05 t=35298
huai 	壞	c=2 d=4.0783e-08 t=35298
huai le 	壞了	c=2 d=7.34319e-15 t=35298
huai nian 	懷念	c=3 d=0.00018046 t=35298
huai si 	壞死	c=1 d=6.72972e-18 t=35298
huai yi 	懷疑	c=3 d=0.0295994 t=35298
huan 	換	c=31 d=0.00135454 t=35298
huan 	環	c=1 d=3.02015e-33 t=35298
huan 	還	c=3 d=2.15046e-08 t=35298
huan ban 	換班	c=1 d=0.000902809 t=35298
huan cun 	緩存	c=21 d=0.00219661 t=35298
huan ge 	換個	c=2 d=1.32606e-26 t=35298
huan hang 	換行	c=2 d=0.937067 t=35298
huan jing 	環境	c=18 d=0.0626645 t=35298
huan kuan 	還款	c=1 d=1.1656e-38 t=35298
huan le 	換了	c=1 d=1.18591e-06 t=35298
huan le 	歡樂	c=1 d=2.0847e-25 t=35298
huan le 	還了	c=1 d=3.12454e-21 t=35298
huan wen 	幻纹	c=5 d=5.94321e-36 t=35298
huan xiang 	幻想	c=2 d=7.59831e-05 t=35298
huan ying 	歡迎	c=2 d=5.00432e-25 t=35298
huan yuan 	還原	c=1 d=1 t=32173
huan zhe 	患者	c=2 d=3.25092e-35 t=35298
huang 	慌	c=3 d=8.50377e-06 t=35298
huang 	皇	c=1 d=3.84068e-37 t=35298
huang 	黃	c=2 d=0.272532 t=35298
huang guan 	皇冠	c=1 d=2.79564e-36 t=35298
huang hua 	黃花	c=1 d=0.402524 t=35298
huang jia 	皇家	c=3 d=0.0202419 t=35298
huang jin 	黃金	c=1 d=7.52373e-36 t=35298
huang pian 	黃片	c=2 d=3.3023e-23 t=35298
huang se 	黃色	c=3 d=2.62024e-09 t=35298
hui 	回	c=13 d=0.0761538 t=35298
hui 	會	c=58 d=0.226068 t=35298
hui bao 	彙報	c=1 d=1 t=34117
hui bei 	會被	c=1 d=3.24255e-16 t=35298
hui ben 	回本	c=2 d=4.78894e-30 t=35298
hui bu hui 	會不會	c=3 d=3.28877e-06 t=35298
hui che 	回車	c=1 d=1.42589e-27 t=35298
hui da 	回答	c=2 d=0.0399551 t=35298
hui dian 	回電	c=1 d=2.16124e-08 t=35298
hui diao 	回調	c=10 d=2.94205 t=35298
hui dong 	會動	c=1 d=2.28305e-06 t=35298
hui fu 	回覆	c=10 d=0.00752668 t=35298
hui fu 	恢復	c=12 d=0.00501661 t=35298
hui gui 	回歸	c=1 d=2.08038e-30 t=35298
hui gun 	回滾	c=1 d=0.000391706 t=35298
hui jia 	回家	c=14 d=0.00147367 t=35298
hui lai 	回來	c=8 d=1.41834 t=35298
hui qu 	回去	c=30 d=0.173128 t=35298
hui shou 	回收	c=7 d=1.16419e-17 t=35298
hui shou 	揮手	c=1 d=2.60088e-10 t=35298
hui shou zhan 	回收站	c=1 d=0.00522135 t=35298
hui tui 	回退	c=2 d=8.31671e-09 t=35298
hui ye 	輝夜	c=1 d=0.00215492 t=35298
hui you 	會有	c=1 d=2.85319e-11 t=35298
hui you ren 	會有人	c=1 d=3.15218e-07 t=35298
hui yuan 	會員	c=15 d=0.00510463 t=35298
hui zhan 	會展	c=1 d=2.84824e-20 t=35298
hui zhi 	回執	c=1 d=1 t=31603
hun he qi 	混合器	c=1 d=6.7586e-39 t=35298
hun xiao 	混淆	c=5 d=1.88211e-05 t=35298
hun yin 	婚姻	c=2 d=6.9025e-31 t=35298
huo 	或	c=3 d=1.88311e-05 t=35298
huo 	活	c=9 d=0.0147779 t=35298
huo 	火	c=2 d=2.87473e-33 t=35298
huo 	獲	c=0 d=9.68599e-09 t=35298
huo 	貨	c=1 d=5.09763e-15 t=35298
huo de 	活得	c=1 d=8.30229e-18 t=35298
huo de 	獲得	c=20 d=0.720217 t=35298
huo dong 	活動	c=22 d=4.77392e-07 t=35298
huo guo 	火鍋	c=1 d=0.0133665 t=35298
huo jian 	火箭	c=1 d=2.38562e-23 t=35298
huo ke cheng ben 	獲客成本	c=1 d=9.73454e-08 t=35298
huo qu 	獲取	c=90 d=2.01078 t=35298
huo rong 	火絨	c=4 d=0.336348 t=35298
huo sheng sheng 	活生生	c=1 d=1.88375e-09 t=35298
huo yan 	火焰	c=1 d=2.59363e-36 t=35298
huo yue 	活躍	c=17 d=0.0264781 t=35298
huo yue du 	活跃度	c=79 d=0.117973 t=35298
huo zai 	活在	c=1 d=4.50723e-08 t=35298
huo zhe 	或者	c=31 d=0.0865722 t=35298
java 	JAVA	c=1 d=1.33684e-33 t=35298
ji 	即	c=1 d=3.56268e-06 t=35298
ji 	及	c=1 d=4.3491e-29 t=35298
ji 	基	c=2 d=2.3313e-09 t=35298
ji 	寄	c=7 d=1.90385e-08 t=35298
ji 	幾	c=4 d=0.00814786 t=35298
ji 	擠	c=1 d=5.87485e-08 t=35298
ji 	既	c=1 d=0.00245409 t=35298
ji 	機	c=0 d=0.0494109 t=35298
ji 	級	c=17 d=0.0507636 t=35298
ji 	記	c=2 d=1.2849e-08 t=35298
ji 	集	c=5 d=0.0018734 t=35298
ji 	雞	c=2 d=1.95019e-05 t=35298
ji ben 	基本	c=20 d=0.0347284 t=35298
ji ben shang 	基本上	c=2 d=0.923116 t=35298
ji bie 	級別	c=5 d=0.00923273 t=35298
ji cheng 	集成	c=2 d=0.00324708 t=35298
ji chu 	基礎	c=15 d=0.254107 t=35298
ji cuo 	記錯	c=1 d=1.88799e-06 t=35298
ji dai 	幾袋	c=1 d=1.06238e-06 t=35298
ji dan 	雞蛋	c=1 d=3.19699e-26 t=35298
ji dao 	寄到	c=1 d=0.00657159 t=35298
ji de 	記得	c=10 d=0.000175489 t=35298
ji fa 	技法	c=4 d=0.0615833 t=35298
ji fen 	積分	c=3 d=0.000437252 t=35298
ji ge 	幾個	c=8 d=0.913711 t=35298
ji ge yue 	幾個月	c=1 d=0.0142642 t=35298
ji gei 	寄給	c=0 d=5.97806e-08 t=35298
ji gei wo 	寄給我	c=1 d=6.00802e-07 t=35298
ji guan qiang 	機關槍	c=1 d=1.58569e-12 t=35298
ji guo 	寄過	c=1 d=1.58596e-14 t=35298
ji hao 	幾號	c=1 d=1.79897e-26 t=35298
ji he 	集合	c=2 d=6.8764e-07 t=35298
ji hu 	幾乎	c=1 d=4.90959e-14 t=35298
ji hua 	計劃	c=4 d=0.519478 t=35298
ji hui 	機會	c=4 d=9.2806e-05 t=35298
ji huo 	激活	c=13 d=0.00943981 t=35298
ji huo ma 	激活碼	c=1 d=6.80798e-07 t=35298
ji ji 	幾級	c=2 d=1.12386e-13 t=35298
ji jia 	幾家	c=1 d=7.82547e-28 t=35298
ji jia 	機甲	c=13 d=0.141593 t=35298
ji jiang 	即將	c=1 d=0.145148 t=35298
ji jin 	基金	c=8 d=0.00790706 t=35298
ji jin meng tu 	急进猛突	c=9 d=0.000855265 t=35298
ji ke 	即刻	c=1 d=3.95777e-08 t=35298
ji kuai 	幾塊	c=0 d=1.15223e-21 t=35298
ji le 	極了	c=1 d=3.08703e-26 t=35298
ji lu 	記錄	c=28 d=0.749374 t=35298
ji lu biao 	紀錄表	c=1 d=2.81654e-06 t=35298
ji lv 	機率	c=1 d=3.99743e-37 t=35298
ji mo 	寂寞	c=1 d=3.24035e-08 t=35298
ji neng 	技能	c=1 d=6.92973e-39 t=35298
ji pai 	雞排	c=2 d=0.00670435 t=35298
ji pi ge da 	雞皮疙瘩	c=1 d=0.301194 t=35298
ji qi 	及其	c=1 d=8.67704e-08 t=35298
ji qi 	機器	c=1 d=2.03289e-23 t=35298
ji qi ren 	機器人	c=7 d=0.00423416 t=35298
ji ran 	既然	c=2 d=1.40729e-11 t=35298
ji ri 	幾日	c=1 d=1.07898e-12 t=35298
ji ru 	計入	c=1 d=0.00504176 t=35298
ji sha 	擊殺	c=3 d=0.0515862 t=35298
ji shen kuan da 	機身寬大	c=0 d=5.43332e-31 t=35298
ji sheng 	寄生	c=1 d=1 t=33483
ji shi 	集市	c=1 d=1.87889e-08 t=35298
ji shu 	基數	c=2 d=0.000208619 t=35298
ji shu 	技術	c=7 d=0.349938 t=35298
ji shu bu 	技術部	c=1 d=3.85926e-35 t=35298
ji su 	極速	c=6 d=0.322238 t=35298
ji suan 	計算	c=14 d=0.751086 t=35298
ji sui 	幾歲	c=1 d=1.04364e-32 t=35298
ji tang 	雞湯	c=2 d=4.44853e-19 t=35298
ji ti 	集體	c=3 d=1.43085e-09 t=35298
ji tian 	幾天	c=4 d=2.8025e-06 t=35298
ji tuan 	集團	c=1 d=1.39813e-31 t=35298
ji xiao 	績效	c=1 d=2.06614e-08 t=35298
ji xie 	機械	c=4 d=0.251579 t=35298
ji xiong 	雞胸	c=1 d=1.6957e-07 t=35298
ji xu 	積蓄	c=1 d=0.00022263 t=35298
ji xu 	繼續	c=14 d=0.000369027 t=35298
ji ye 	幾頁	c=1 d=1.03007e-25 t=35298
ji yi 	記憶	c=1 d=0.000921047 t=35298
ji yin 	基因	c=1 d=3.30065e-19 t=35298
ji you 	機油	c=1 d=0.154896 t=35298
ji zhan 	基站	c=1 d=0.000350903 t=35298
ji zhan 	幾站	c=1 d=1.07766e-27 t=35298
ji zhang 	幾張	c=1 d=2.39179e-24 t=35298
ji zhong 	集中	c=1 d=9.24216e-15 t=35298
ji zhu 	記住	c=3 d=1.73704e-18 t=35298
jia 	佳	c=4 d=7.3918e-20 t=35298
jia 	價	c=1 d=0.000720907 t=35298
jia 	加	c=35 d=1.63354 t=35298
jia 	夾	c=1 d=6.71919e-29 t=35298
jia 	家	c=24 d=0.500597 t=35298
jia 	甲	c=1 d=3.28877e-06 t=35298
jia ban 	加班	c=8 d=0.000799363 t=35298
jia cang 	加倉	c=3 d=0.000447959 t=35298
jia cheng 	加成	c=1 d=1.85155e-12 t=35298
jia dao 	加到	c=1 d=0.000539428 t=35298
jia dian 	家電	c=1 d=0.000567086 t=35298
jia fang 	家紡	c=1 d=1.07047e-07 t=35298
jia fang 	甲方	c=2 d=8.54932e-10 t=35298
jia gai 	加蓋	c=1 d=1.17471e-12 t=35298
jia ge 	價格	c=5 d=0.00293808 t=35298
jia ge 	加個	c=1 d=9.71436e-13 t=35298
jia gou 	架構	c=2 d=0.0169075 t=35298
jia gou shi 	架構師	c=1 d=2.73991e-05 t=35298
jia jia 	加價	c=1 d=0.00042433 t=35298
jia jie mi 	加解密	c=2 d=1.86936 t=31813
jia le 	加了	c=5 d=6.45732e-05 t=35298
jia li 	家裏	c=3 d=0.00250368 t=35298
jia li dun 	家裏蹲	c=1 d=5.20238e-19 t=35298
jia li mian 	家裏面	c=2 d=0.00241755 t=35298
jia mi 	加密	c=9 d=0.0177743 t=35298
jia mi hou 	加密後	c=1 d=1 t=31821
jia ren 	假人	c=1 d=1.60163e-12 t=35298
jia ru 	假如	c=1 d=1 t=34294
jia ru 	加入	c=7 d=0.0106734 t=35298
jia shang 	加上	c=8 d=0.00733572 t=35298
jia shang qu 	加上去	c=1 d=1.02989e-23 t=35298
jia she 	假設	c=1 d=1 t=34295
jia su 	加速	c=2 d=1.72995e-07 t=35298
jia su qi 	加速器	c=6 d=0.00139481 t=35298
jia ting 	家庭	c=5 d=0.00295281 t=35298
jia xin 	加薪	c=2 d=4.91978e-09 t=35298
jia zai 	加載	c=3 d=0.438235 t=35298
jia zhang 	家長	c=1 d=0.00191125 t=35298
jia zhi guan 	價值觀	c=1 d=5.6445e-08 t=35298
jia zi 	架子	c=1 d=9.76306e-13 t=35298
jian 	件	c=3 d=0.00103848 t=35298
jian 	剪	c=1 d=1.6872e-36 t=35298
jian 	劍	c=2 d=0.000107137 t=35298
jian 	尖	c=4 d=0.0220377 t=35298
jian 	建	c=3 d=0.188141 t=35298
jian 	減	c=3 d=1.34034e-05 t=35298
jian 	煎	c=1 d=0.00683977 t=35298
jian 	見	c=2 d=0.00190171 t=35298
jian 	鍵	c=11 d=0.000391805 t=35298
jian 	間	c=2 d=4.79715e-21 t=35298
jian cai 	剪裁	c=1 d=1.90729e-08 t=35298
jian cha 	檢查	c=1 d=1.8547e-32 t=35298
jian cha 	監察	c=1 d=3.80194e-06 t=35298
jian cheng 	簡稱	c=1 d=2.0923e-09 t=35298
jian chi 	堅持	c=3 d=0.0381969 t=35298
jian dan 	簡單	c=6 d=0.000132423 t=35298
jian dao 	見到	c=4 d=0.000106131 t=35298
jian die 	間諜	c=1 d=3.83283e-13 t=35298
jian fa 	減法	c=1 d=1 t=33048
jian feng 	剑风	c=1 d=9.23431e-05 t=35298
jian ge 	間隔	c=1 d=1 t=35250
jian guo 	堅果	c=1 d=2.84429e-33 t=35298
jian guo 	建國	c=1 d=1.25946e-08 t=35298
jian guo 	見過	c=2 d=0.000520875 t=35298
jian hang 	建行	c=1 d=5.69133e-17 t=35298
jian hang ka 	建行卡	c=1 d=1.78476e-21 t=35298
jian hua 	簡化	c=4 d=5.0933e-05 t=35298
jian jie 	簡介	c=1 d=6.45686e-31 t=35298
jian jie 	簡潔	c=3 d=3.32181e-06 t=35298
jian jie 	見解	c=1 d=1.10097e-14 t=35298
jian kang 	健康	c=1 d=1.53747e-31 t=35298
jian kong 	監控	c=6 d=0.0395438 t=35298
jian le 	剪了	c=1 d=1.70415e-36 t=35298
jian li 	簡歷	c=6 d=1.87217e-33 t=35298
jian liang 	見諒	c=2 d=2.02e-07 t=35298
jian ling 	剑灵	c=2 d=0.0968807 t=35298
jian mian 	減免	c=1 d=1.53616e-21 t=35298
jian mian 	見面	c=2 d=0.000123411 t=35298
jian mie 	殲滅	c=1 d=8.06816e-05 t=35298
jian pan 	鍵盤	c=9 d=0.00469756 t=35298
jian pin 	簡拼	c=2 d=1.86376e-22 t=35298
jian qing 	減輕	c=1 d=1.70391e-05 t=35298
jian qu 	減去	c=2 d=0.000768243 t=35298
jian quan 	鑑權	c=1 d=1.66241e-09 t=35298
jian rong 	兼容	c=2 d=2.84897e-06 t=35298
jian shao 	減少	c=2 d=0.0220377 t=35298
jian she 	建設	c=4 d=3.37492e-07 t=35298
jian shen 	健身	c=1 d=4.88677e-18 t=35298
jian shi 	監視	c=1 d=1.64956e-06 t=35298
jian shu 	簡述	c=1 d=1 t=31504
jian suo 	檢索	c=1 d=6.60767e-38 t=35298
jian tao 	件套	c=1 d=0.0010333 t=35298
jian ting 	堅挺	c=2 d=0.245367 t=35298
jian ting 	監聽	c=8 d=0.00351752 t=35298
jian xie 	簡寫	c=2 d=0.000472504 t=35298
jian xing 	建行	c=1 d=5.23842e-12 t=35298
jian yi 	建議	c=7 d=0.00175554 t=35298
jian yi xia 	鍵一下	c=1 d=0.00346515 t=35298
jian yu 	鑑於	c=1 d=2.60132e-12 t=35298
jian zai 	健在	c=1 d=8.07778e-19 t=35298
jian zao 	建造	c=1 d=0.256661 t=35298
jian zhi 	鍵值	c=1 d=2.79954e-23 t=35298
jiang 	將	c=3 d=2.8194e-10 t=35298
jiang 	醬	c=1 d=2.74738e-37 t=35298
jiang 	降	c=2 d=0.00428993 t=35298
jiang di 	降低	c=1 d=1.48484e-33 t=35298
jiang ji 	降級	c=5 d=0.028297 t=35298
jiang jia 	降價	c=1 d=3.44013e-06 t=35298
jiang lai 	將來	c=1 d=1 t=32320
jiang li 	獎勵	c=4 d=0.000973446 t=35298
jiang pin 	獎品	c=2 d=1.70538e-36 t=35298
jiang tou 	江頭	c=1 d=3.77577e-13 t=35298
jiang wen 	降溫	c=1 d=0.00210172 t=35298
jiang xi 	江西	c=1 d=2.08187e-09 t=35298
jiao 	交	c=12 d=0.0137736 t=35298
jiao 	叫	c=10 d=0.502359 t=35298
jiao 	繳	c=2 d=0.00810722 t=35298
jiao 	腳	c=2 d=0.467666 t=35298
jiao ao 	驕傲	c=1 d=0.0645703 t=35298
jiao ben 	腳本	c=31 d=0.0282129 t=35298
jiao bian 	狡辯	c=1 d=3.12135e-09 t=35298
jiao biao 	角標	c=2 d=1.74453 t=31647
jiao fei 	繳費	c=1 d=1.57725e-08 t=35298
jiao ge 	交個	c=1 d=5.39412e-33 t=35298
jiao hu 	交互	c=1 d=1 t=31887
jiao ji 	交集	c=3 d=7.12013e-05 t=35298
jiao jie 	交接	c=5 d=5.43912e-13 t=35298
jiao jing 	交警	c=1 d=0.000415927 t=35298
jiao le 	叫了	c=1 d=2.57413e-06 t=35298
jiao liu 	交流	c=1 d=8.53888e-25 t=35298
jiao na 	繳納	c=1 d=1 t=32633
jiao sheng 	叫聲	c=1 d=1.84231e-12 t=35298
jiao shi 	教師	c=1 d=9.2806e-05 t=35298
jiao shui 	交稅	c=1 d=2.00576e-12 t=35298
jiao wo 	叫我	c=4 d=7.79066e-05 t=35298
jiao wo 	教我	c=8 d=0.0010029 t=35298
jiao yan 	校驗	c=1 d=4.69037e-06 t=35298
jiao yi 	交易	c=5 d=1.6169e-06 t=35298
jiao yi a 	交易啊	c=1 d=2.71311e-07 t=35298
